/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/4/28/,confirmed and probable,Waukesha County,523,383,140,27462
2020/4/29/,confirmed and probable,Waukesha County,532,390,142,27462
2020/4/30/,confirmed and probable,Waukesha County,547,401,146,27462
2020/5/1/,confirmed and probable,Waukesha County,564,415,149,27462
2020/5/2/,confirmed and probable,Waukesha County,567,418,149,27462
2020/5/3/,confirmed and probable,Waukesha County,573,423,150,27462
2020/5/4/,confirmed and probable,Waukesha County,582,431,151,27462
2020/5/5/,confirmed and probable,Waukesha County,591,437,154,27462
2020/5/6/,confirmed and probable,Waukesha County,608,448,160,27462
2020/5/7/,confirmed and probable,Waukesha County,618,454,164,27462
2020/5/8/,confirmed and probable,Waukesha County,635,471,164,27462
2020/5/9/,confirmed and probable,Waukesha County,645,479,166,27462
2020/5/10/,confirmed and probable,Waukesha County,658,488,170,27462
2020/5/11/,confirmed and probable,Waukesha County,672,500,172,27462
2020/5/12/,confirmed and probable,Waukesha County,692,514,178,27462
2020/5/13/,confirmed and probable,Waukesha County,715,533,182,27462
2020/5/14/,confirmed and probable,Waukesha County,731,546,185,27462
2020/5/15/,confirmed and probable,Waukesha County,763,571,192,27462
2020/5/16/,confirmed and probable,Waukesha County,781,580,201,27462
2020/5/17/,confirmed and probable,Waukesha County,804,600,204,27462
2020/5/18/,confirmed and probable,Waukesha County,820,614,206,27462
2020/5/19/,confirmed and probable,Waukesha County,842,632,210,27462
2020/5/20/,confirmed and probable,Waukesha County,872,655,217,27462
2020/5/21/,confirmed and probable,Waukesha County,904,678,226,27462
2020/5/22/,confirmed and probable,Waukesha County,920,690,230,27462
2020/5/23/,confirmed and probable,Waukesha County,938,705,233,27462
2020/5/24/,confirmed and probable,Waukesha County,952,719,233,27462
2020/5/25/,confirmed and probable,Waukesha County,971,733,238,27462
2020/5/26/,confirmed and probable,Waukesha County,992,754,238,27462
2020/5/27/,confirmed and probable,Waukesha County,1014,769,245,27462
2020/5/28/,confirmed and probable,Waukesha County,1029,782,247,27462
2020/5/29/,confirmed and probable,Waukesha County,1052,802,250,27462
2020/5/30/,confirmed and probable,Waukesha County,1070,817,253,27462
2020/5/31/,confirmed and probable,Waukesha County,1084,828,256,27462
2020/6/1/,confirmed and probable,Waukesha County,1107,851,256,27462
2020/6/2/,confirmed and probable,Waukesha County,1129,868,261,27462
2020/6/3/,confirmed and probable,Waukesha County,1150,888,262,27462
2020/6/4/,confirmed and probable,Waukesha County,1166,898,268,27462
2020/6/5/,confirmed and probable,Waukesha County,1182,914,268,27462
2020/6/6/,confirmed and probable,Waukesha County,1193,924,269,27462
2020/6/7/,confirmed and probable,Waukesha County,1210,939,271,27462
2020/6/8/,confirmed and probable,Waukesha County,1231,958,273,27462
2020/6/9/,confirmed and probable,Waukesha County,1260,979,281,27462
2020/6/10/,confirmed and probable,Waukesha County,1279,994,285,27462
2020/6/11/,confirmed and probable,Waukesha County,1299,1009,290,27462
2020/6/12/,confirmed and probable,Waukesha County,1314,1021,293,27462
2020/6/13/,confirmed and probable,Waukesha County,1324,1029,295,27462
2020/6/14/,confirmed and probable,Waukesha County,1330,1034,296,27462
2020/6/15/,confirmed and probable,Waukesha County,1358,1058,300,27462
2020/6/16/,confirmed and probable,Waukesha County,1380,1074,306,27462
2020/6/17/,confirmed and probable,Waukesha County,1398,1092,306,27462
2020/6/18/,confirmed and probable,Waukesha County,1430,1118,312,27462
2020/6/19/,confirmed and probable,Waukesha County,1455,1140,315,27462
2020/6/20/,confirmed and probable,Waukesha County,1478,1158,320,27462
2020/6/21/,confirmed and probable,Waukesha County,1493,1173,320,27462
2020/6/22/,confirmed and probable,Waukesha County,1525,1203,322,27462
2020/6/23/,confirmed and probable,Waukesha County,1560,1235,325,27462
2020/6/24/,confirmed and probable,Waukesha County,1603,1276,327,27462
2020/6/25/,confirmed and probable,Waukesha County,1636,1307,329,27462
2020/6/26/,confirmed and probable,Waukesha County,1665,1334,331,27462
2020/6/27/,confirmed and probable,Waukesha County,1698,1363,335,27462
2020/6/28/,confirmed and probable,Waukesha County,1731,1394,337,27462
2020/6/29/,confirmed and probable,Waukesha County,1791,1451,340,27462
2020/6/30/,confirmed and probable,Waukesha County,1850,1502,348,27462
2020/7/1/,confirmed and probable,Waukesha County,1904,1552,352,27462
2020/7/2/,confirmed and probable,Waukesha County,1960,1599,361,27462
2020/7/3/,confirmed and probable,Waukesha County,2012,1647,365,27462
2020/7/4/,confirmed and probable,Waukesha County,2053,1685,368,27462
2020/7/5/,confirmed and probable,Waukesha County,2104,1735,369,27462
2020/7/6/,confirmed and probable,Waukesha County,2175,1802,373,27462
2020/7/7/,confirmed and probable,Waukesha County,2264,1888,376,27462
2020/7/8/,confirmed and probable,Waukesha County,2336,1957,379,27462
2020/7/9/,confirmed and probable,Waukesha County,2399,2018,381,27462
2020/7/10/,confirmed and probable,Waukesha County,2475,2092,383,27462
2020/7/11/,confirmed and probable,Waukesha County,2542,2159,383,27462
2020/7/12/,confirmed and probable,Waukesha County,2611,2225,386,27462
2020/7/13/,confirmed and probable,Waukesha County,2704,2314,390,27462
2020/7/14/,confirmed and probable,Waukesha County,2814,2422,392,27462
2020/7/15/,confirmed and probable,Waukesha County,2923,2530,393,27462
2020/7/16/,confirmed and probable,Waukesha County,3012,2618,394,27462
2020/7/17/,confirmed and probable,Waukesha County,3125,2729,396,27462
2020/7/18/,confirmed and probable,Waukesha County,3210,2814,396,27462
2020/7/19/,confirmed and probable,Waukesha County,3281,2884,397,27462
2020/7/20/,confirmed and probable,Waukesha County,3424,3020,404,27462
2020/7/21/,confirmed and probable,Waukesha County,3535,3128,407,27462
2020/7/22/,confirmed and probable,Waukesha County,3665,3253,412,27462
