/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/5/4/,confirmed and probable,Brown County,2002,1923,79,22931
2020/5/5/,confirmed and probable,Brown County,2045,1966,79,22931
2020/5/6/,confirmed and probable,Brown County,2085,2005,80,22931
2020/5/7/,confirmed and probable,Brown County,2113,2033,80,22931
2020/5/8/,confirmed and probable,Brown County,2155,2075,80,22931
2020/5/9/,confirmed and probable,Brown County,2172,2091,81,22931
2020/5/10/,confirmed and probable,Brown County,2198,2117,81,22931
2020/5/11/,confirmed and probable,Brown County,2225,2144,81,22931
2020/5/12/,confirmed and probable,Brown County,2255,2172,83,22931
2020/5/13/,confirmed and probable,Brown County,2286,2201,85,22931
2020/5/14/,confirmed and probable,Brown County,2313,2228,85,22931
2020/5/15/,confirmed and probable,Brown County,2344,2257,87,22931
2020/5/16/,confirmed and probable,Brown County,2353,2265,88,22931
2020/5/17/,confirmed and probable,Brown County,2363,2275,88,22931
2020/5/18/,confirmed and probable,Brown County,2377,2286,91,22931
2020/5/19/,confirmed and probable,Brown County,2397,2306,91,22931
2020/5/20/,confirmed and probable,Brown County,2413,2321,92,22931
2020/5/21/,confirmed and probable,Brown County,2425,2331,94,22931
2020/5/22/,confirmed and probable,Brown County,2434,2340,94,22931
2020/5/23/,confirmed and probable,Brown County,2443,2349,94,22931
2020/5/24/,confirmed and probable,Brown County,2448,2354,94,22931
2020/5/25/,confirmed and probable,Brown County,2456,2362,94,22931
2020/5/26/,confirmed and probable,Brown County,2462,2368,94,22931
2020/5/27/,confirmed and probable,Brown County,2471,2377,94,22931
2020/5/28/,confirmed and probable,Brown County,2485,2391,94,22931
2020/5/29/,confirmed and probable,Brown County,2493,2399,94,22931
2020/5/30/,confirmed and probable,Brown County,2504,2410,94,22931
2020/5/31/,confirmed and probable,Brown County,2507,2413,94,22931
2020/6/1/,confirmed and probable,Brown County,2518,2424,94,22931
2020/6/2/,confirmed and probable,Brown County,2524,2430,94,22931
2020/6/3/,confirmed and probable,Brown County,2535,2440,95,22931
2020/6/4/,confirmed and probable,Brown County,2543,2448,95,22931
2020/6/5/,confirmed and probable,Brown County,2551,2455,96,22931
2020/6/6/,confirmed and probable,Brown County,2561,2465,96,22931
2020/6/7/,confirmed and probable,Brown County,2571,2474,97,22931
2020/6/8/,confirmed and probable,Brown County,2587,2490,97,22931
2020/6/9/,confirmed and probable,Brown County,2601,2504,97,22931
2020/6/10/,confirmed and probable,Brown County,2614,2517,97,22931
2020/6/11/,confirmed and probable,Brown County,2629,2532,97,22931
2020/6/12/,confirmed and probable,Brown County,2644,2547,97,22931
2020/6/13/,confirmed and probable,Brown County,2660,2562,98,22931
2020/6/14/,confirmed and probable,Brown County,2674,2576,98,22931
2020/6/15/,confirmed and probable,Brown County,2702,2603,99,22931
2020/6/16/,confirmed and probable,Brown County,2728,2628,100,22931
2020/6/17/,confirmed and probable,Brown County,2760,2659,101,22931
2020/6/18/,confirmed and probable,Brown County,2787,2686,101,22931
2020/6/19/,confirmed and probable,Brown County,2821,2719,102,22931
2020/6/20/,confirmed and probable,Brown County,2847,2745,102,22931
2020/6/21/,confirmed and probable,Brown County,2877,2775,102,22931
2020/6/22/,confirmed and probable,Brown County,2933,2829,104,22931
2020/6/23/,confirmed and probable,Brown County,2973,2866,107,22931
2020/6/24/,confirmed and probable,Brown County,3010,2903,107,22931
2020/6/25/,confirmed and probable,Brown County,3052,2944,108,22931
2020/6/26/,confirmed and probable,Brown County,3086,2978,108,22931
2020/6/27/,confirmed and probable,Brown County,3107,2998,109,22931
2020/6/28/,confirmed and probable,Brown County,3134,3025,109,22931
2020/6/29/,confirmed and probable,Brown County,3179,3069,110,22931
2020/6/30/,confirmed and probable,Brown County,3205,3094,111,22931
2020/7/1/,confirmed and probable,Brown County,3239,3127,112,22931
2020/7/2/,confirmed and probable,Brown County,3260,3148,112,22931
2020/7/3/,confirmed and probable,Brown County,3294,3182,112,22931
2020/7/4/,confirmed and probable,Brown County,3308,3196,112,22931
2020/7/5/,confirmed and probable,Brown County,3333,3221,112,22931
2020/7/6/,confirmed and probable,Brown County,3381,3269,112,22931
2020/7/7/,confirmed and probable,Brown County,3421,3308,113,22931
2020/7/8/,confirmed and probable,Brown County,3468,3355,113,22931
2020/7/9/,confirmed and probable,Brown County,3510,3396,114,22931
2020/7/10/,confirmed and probable,Brown County,3543,3429,114,22931
2020/7/11/,confirmed and probable,Brown County,3563,3448,115,22931
2020/7/12/,confirmed and probable,Brown County,3594,3478,116,22931
2020/7/13/,confirmed and probable,Brown County,3645,3529,116,22931
2020/7/14/,confirmed and probable,Brown County,3690,3574,116,22931
2020/7/15/,confirmed and probable,Brown County,3744,3627,117,22931
2020/7/16/,confirmed and probable,Brown County,3799,3682,117,22931
2020/7/17/,confirmed and probable,Brown County,3835,3718,117,22931
2020/7/18/,confirmed and probable,Brown County,3854,3736,118,22931
2020/7/19/,confirmed and probable,Brown County,3881,3763,118,22931
2020/7/20/,confirmed and probable,Brown County,3928,3810,118,22931
2020/7/21/,confirmed and probable,Brown County,3970,3850,120,22931
2020/7/22/,confirmed and probable,Brown County,4005,3885,120,22931
2020/7/23/,confirmed and probable,Brown County,4030,3910,120,22931
2020/7/24/,confirmed and probable,Brown County,4050,3929,121,22931
2020/7/25/,confirmed and probable,Brown County,4070,3948,122,22931
2020/7/26/,confirmed and probable,Brown County,4096,3972,124,22931
2020/7/27/,confirmed and probable,Brown County,4157,4029,128,22931
2020/7/28/,confirmed and probable,Brown County,4198,4068,130,22931
2020/7/29/,confirmed and probable,Brown County,4239,4108,131,22931
2020/7/30/,confirmed and probable,Brown County,4269,4136,133,22931
2020/7/31/,confirmed and probable,Brown County,4311,4177,134,22931
2020/8/1/,confirmed and probable,Brown County,4342,4208,134,22931
2020/8/2/,confirmed and probable,Brown County,4369,4234,135,22931
2020/8/3/,confirmed and probable,Brown County,4413,4278,135,22931
2020/8/4/,confirmed and probable,Brown County,4453,4315,138,22931
2020/8/5/,confirmed and probable,Brown County,4495,4353,142,22931
2020/8/6/,confirmed and probable,Brown County,4535,4390,145,22931
2020/8/7/,confirmed and probable,Brown County,4570,4425,145,22931
2020/8/8/,confirmed and probable,Brown County,4591,4445,146,22931
2020/8/9/,confirmed and probable,Brown County,4623,4476,147,22931
2020/8/10/,confirmed and probable,Brown County,4672,4525,147,22931
2020/8/11/,confirmed and probable,Brown County,4749,4601,148,22931
2020/8/12/,confirmed and probable,Brown County,4806,4657,149,22931
2020/8/13/,confirmed and probable,Brown County,4843,4694,149,22931
2020/8/14/,confirmed and probable,Brown County,4886,4736,150,22931
2020/8/15/,confirmed and probable,Brown County,4917,4766,151,22931
2020/8/16/,confirmed and probable,Brown County,4944,4793,151,22931
2020/8/17/,confirmed and probable,Brown County,4989,4837,152,22931
2020/8/18/,confirmed and probable,Brown County,5199,5046,153,22931
2020/8/19/,confirmed and probable,Brown County,5294,5141,153,22931
2020/8/20/,confirmed and probable,Brown County,5325,5172,153,22931
2020/8/21/,confirmed and probable,Brown County,5387,5233,154,22931
2020/8/22/,confirmed and probable,Brown County,5421,5267,154,22931
2020/8/23/,confirmed and probable,Brown County,5458,5304,154,22931
2020/8/24/,confirmed and probable,Brown County,5508,5354,154,22931
2020/8/25/,confirmed and probable,Brown County,5579,5425,154,22931
2020/8/26/,confirmed and probable,Brown County,5653,5498,155,22931
2020/8/27/,confirmed and probable,Brown County,5719,5564,155,22931
2020/8/28/,confirmed and probable,Brown County,5796,5641,155,22931
2020/8/29/,confirmed and probable,Brown County,5839,5684,155,22931
2020/8/30/,confirmed and probable,Brown County,5905,5749,156,22931
2020/8/31/,confirmed and probable,Brown County,6006,5849,157,22931
2020/9/1/,confirmed and probable,Brown County,6097,5940,157,22931
2020/9/2/,confirmed and probable,Brown County,6199,6042,157,22931
2020/9/3/,confirmed and probable,Brown County,6275,6116,159,22931
2020/9/4/,confirmed and probable,Brown County,6373,6213,160,22931
2020/9/5/,confirmed and probable,Brown County,6466,6306,160,22931
2020/9/6/,confirmed and probable,Brown County,6550,6390,160,22931
2020/9/7/,confirmed and probable,Brown County,6625,6465,160,22931
2020/9/8/,confirmed and probable,Brown County,6771,6610,161,22931
2020/9/9/,confirmed and probable,Brown County,6890,6727,163,22931
2020/9/10/,confirmed and probable,Brown County,7052,6889,163,22931
2020/9/11/,confirmed and probable,Brown County,7196,7033,163,22931
2020/9/12/,confirmed and probable,Brown County,7277,7112,165,22931
2020/9/13/,confirmed and probable,Brown County,7385,7220,165,22931
2020/9/14/,confirmed and probable,Brown County,7570,7405,165,22931
