/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/4/23/,confirmed and probable,Milwaukee County,3404,3145,259,70179
2020/4/24/,confirmed and probable,Milwaukee County,3546,3274,272,70179
2020/4/25/,confirmed and probable,Milwaukee County,3627,3352,275,70179
2020/4/26/,confirmed and probable,Milwaukee County,3674,3395,279,70179
2020/4/27/,confirmed and probable,Milwaukee County,3809,3516,293,70179
2020/4/28/,confirmed and probable,Milwaukee County,3932,3632,300,70179
2020/4/29/,confirmed and probable,Milwaukee County,4044,3734,310,70179
2020/4/30/,confirmed and probable,Milwaukee County,4152,3832,320,70179
2020/5/1/,confirmed and probable,Milwaukee County,4285,3960,325,70179
2020/5/2/,confirmed and probable,Milwaukee County,4372,4039,333,70179
2020/5/3/,confirmed and probable,Milwaukee County,4439,4104,335,70179
2020/5/4/,confirmed and probable,Milwaukee County,4630,4284,346,70179
2020/5/5/,confirmed and probable,Milwaukee County,4779,4426,353,70179
2020/5/6/,confirmed and probable,Milwaukee County,4942,4577,365,70179
2020/5/7/,confirmed and probable,Milwaukee County,5114,4740,374,70179
2020/5/8/,confirmed and probable,Milwaukee County,5284,4903,381,70179
2020/5/9/,confirmed and probable,Milwaukee County,5371,4986,385,70179
2020/5/10/,confirmed and probable,Milwaukee County,5465,5077,388,70179
2020/5/11/,confirmed and probable,Milwaukee County,5741,5344,397,70179
2020/5/12/,confirmed and probable,Milwaukee County,6005,5594,411,70179
2020/5/13/,confirmed and probable,Milwaukee County,6279,5856,423,70179
2020/5/14/,confirmed and probable,Milwaukee County,6538,6103,435,70179
2020/5/15/,confirmed and probable,Milwaukee County,6845,6389,456,70179
2020/5/16/,confirmed and probable,Milwaukee County,7029,6566,463,70179
2020/5/17/,confirmed and probable,Milwaukee County,7137,6669,468,70179
2020/5/18/,confirmed and probable,Milwaukee County,7512,7032,480,70179
2020/5/19/,confirmed and probable,Milwaukee County,7810,7320,490,70179
2020/5/20/,confirmed and probable,Milwaukee County,8107,7602,505,70179
2020/5/21/,confirmed and probable,Milwaukee County,8365,7847,518,70179
2020/5/22/,confirmed and probable,Milwaukee County,8645,8111,534,70179
2020/5/23/,confirmed and probable,Milwaukee County,8798,8253,545,70179
2020/5/24/,confirmed and probable,Milwaukee County,8887,8341,546,70179
2020/5/25/,confirmed and probable,Milwaukee County,8966,8415,551,70179
2020/5/26/,confirmed and probable,Milwaukee County,9226,8665,561,70179
2020/5/27/,confirmed and probable,Milwaukee County,9470,8891,579,70179
2020/5/28/,confirmed and probable,Milwaukee County,9674,9086,588,70179
2020/5/29/,confirmed and probable,Milwaukee County,9876,9276,600,70179
2020/5/30/,confirmed and probable,Milwaukee County,9965,9357,608,70179
2020/5/31/,confirmed and probable,Milwaukee County,10043,9431,612,70179
2020/6/1/,confirmed and probable,Milwaukee County,10280,9651,629,70179
2020/6/2/,confirmed and probable,Milwaukee County,10467,9832,635,70179
2020/6/3/,confirmed and probable,Milwaukee County,10651,10010,641,70179
2020/6/4/,confirmed and probable,Milwaukee County,10812,10162,650,70179
2020/6/5/,confirmed and probable,Milwaukee County,10983,10319,664,70179
2020/6/6/,confirmed and probable,Milwaukee County,11088,10415,673,70179
2020/6/7/,confirmed and probable,Milwaukee County,11150,10476,674,70179
