/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/5/4/,confirmed and probable,Rock County,437,380,57,9413
2020/5/5/,confirmed and probable,Rock County,447,389,58,9413
2020/5/6/,confirmed and probable,Rock County,464,403,61,9413
2020/5/7/,confirmed and probable,Rock County,479,417,62,9413
2020/5/8/,confirmed and probable,Rock County,493,431,62,9413
2020/5/9/,confirmed and probable,Rock County,502,436,66,9413
2020/5/10/,confirmed and probable,Rock County,505,439,66,9413
2020/5/11/,confirmed and probable,Rock County,517,450,67,9413
2020/5/12/,confirmed and probable,Rock County,526,458,68,9413
2020/5/13/,confirmed and probable,Rock County,543,474,69,9413
2020/5/14/,confirmed and probable,Rock County,553,483,70,9413
2020/5/15/,confirmed and probable,Rock County,587,515,72,9413
2020/5/16/,confirmed and probable,Rock County,603,530,73,9413
2020/5/17/,confirmed and probable,Rock County,610,537,73,9413
2020/5/18/,confirmed and probable,Rock County,626,551,75,9413
2020/5/19/,confirmed and probable,Rock County,663,587,76,9413
2020/5/20/,confirmed and probable,Rock County,675,599,76,9413
2020/5/21/,confirmed and probable,Rock County,704,622,82,9413
2020/5/22/,confirmed and probable,Rock County,718,636,82,9413
2020/5/23/,confirmed and probable,Rock County,727,643,84,9413
2020/5/24/,confirmed and probable,Rock County,730,645,85,9413
2020/5/25/,confirmed and probable,Rock County,741,656,85,9413
2020/5/26/,confirmed and probable,Rock County,758,671,87,9413
2020/5/27/,confirmed and probable,Rock County,769,682,87,9413
2020/5/28/,confirmed and probable,Rock County,779,692,87,9413
2020/5/29/,confirmed and probable,Rock County,790,703,87,9413
2020/5/30/,confirmed and probable,Rock County,794,707,87,9413
2020/5/31/,confirmed and probable,Rock County,802,715,87,9413
2020/6/1/,confirmed and probable,Rock County,813,726,87,9413
2020/6/2/,confirmed and probable,Rock County,822,732,90,9413
2020/6/3/,confirmed and probable,Rock County,826,736,90,9413
2020/6/4/,confirmed and probable,Rock County,835,744,91,9413
2020/6/5/,confirmed and probable,Rock County,843,751,92,9413
2020/6/6/,confirmed and probable,Rock County,847,755,92,9413
2020/6/7/,confirmed and probable,Rock County,854,762,92,9413
2020/6/8/,confirmed and probable,Rock County,870,778,92,9413
2020/6/9/,confirmed and probable,Rock County,880,788,92,9413
2020/6/10/,confirmed and probable,Rock County,884,792,92,9413
2020/6/11/,confirmed and probable,Rock County,893,801,92,9413
2020/6/12/,confirmed and probable,Rock County,901,807,94,9413
2020/6/13/,confirmed and probable,Rock County,903,809,94,9413
2020/6/14/,confirmed and probable,Rock County,908,814,94,9413
2020/6/15/,confirmed and probable,Rock County,911,817,94,9413
2020/6/16/,confirmed and probable,Rock County,911,817,94,9413
2020/6/17/,confirmed and probable,Rock County,923,828,95,9413
2020/6/18/,confirmed and probable,Rock County,938,838,100,9413
2020/6/19/,confirmed and probable,Rock County,950,847,103,9413
2020/6/20/,confirmed and probable,Rock County,953,850,103,9413
2020/6/21/,confirmed and probable,Rock County,961,858,103,9413
2020/6/22/,confirmed and probable,Rock County,972,868,104,9413
2020/6/23/,confirmed and probable,Rock County,979,874,105,9413
2020/6/24/,confirmed and probable,Rock County,993,888,105,9413
2020/6/25/,confirmed and probable,Rock County,1006,901,105,9413
2020/6/26/,confirmed and probable,Rock County,1015,909,106,9413
2020/6/27/,confirmed and probable,Rock County,1028,922,106,9413
2020/6/28/,confirmed and probable,Rock County,1036,930,106,9413
2020/6/29/,confirmed and probable,Rock County,1059,953,106,9413
2020/6/30/,confirmed and probable,Rock County,1076,970,106,9413
2020/7/1/,confirmed and probable,Rock County,1096,990,106,9413
2020/7/2/,confirmed and probable,Rock County,1106,1000,106,9413
2020/7/3/,confirmed and probable,Rock County,1123,1017,106,9413
2020/7/4/,confirmed and probable,Rock County,1135,1028,107,9413
2020/7/5/,confirmed and probable,Rock County,1150,1042,108,9413
2020/7/6/,confirmed and probable,Rock County,1176,1065,111,9413
2020/7/7/,confirmed and probable,Rock County,1207,1095,112,9413
2020/7/8/,confirmed and probable,Rock County,1225,1112,113,9413
2020/7/9/,confirmed and probable,Rock County,1243,1128,115,9413
2020/7/10/,confirmed and probable,Rock County,1260,1144,116,9413
2020/7/11/,confirmed and probable,Rock County,1272,1156,116,9413
2020/7/12/,confirmed and probable,Rock County,1288,1172,116,9413
2020/7/13/,confirmed and probable,Rock County,1316,1196,120,9413
2020/7/14/,confirmed and probable,Rock County,1338,1214,124,9413
2020/7/15/,confirmed and probable,Rock County,1361,1235,126,9413
2020/7/16/,confirmed and probable,Rock County,1384,1257,127,9413
2020/7/17/,confirmed and probable,Rock County,1393,1264,129,9413
2020/7/18/,confirmed and probable,Rock County,1401,1272,129,9413
2020/7/19/,confirmed and probable,Rock County,1409,1280,129,9413
2020/7/20/,confirmed and probable,Rock County,1423,1293,130,9413
2020/7/21/,confirmed and probable,Rock County,1443,1313,130,9413
2020/7/22/,confirmed and probable,Rock County,1463,1329,134,9413
2020/7/23/,confirmed and probable,Rock County,1472,1338,134,9413
2020/7/24/,confirmed and probable,Rock County,1478,1344,134,9413
2020/7/25/,confirmed and probable,Rock County,1491,1357,134,9413
2020/7/26/,confirmed and probable,Rock County,1499,1363,136,9413
2020/7/27/,confirmed and probable,Rock County,1517,1379,138,9413
2020/7/28/,confirmed and probable,Rock County,1525,1386,139,9413
2020/7/29/,confirmed and probable,Rock County,1536,1396,140,9413
2020/7/30/,confirmed and probable,Rock County,1541,1401,140,9413
2020/7/31/,confirmed and probable,Rock County,1549,1408,141,9413
2020/8/1/,confirmed and probable,Rock County,1559,1417,142,9413
2020/8/2/,confirmed and probable,Rock County,1569,1427,142,9413
2020/8/3/,confirmed and probable,Rock County,1579,1437,142,9413
2020/8/4/,confirmed and probable,Rock County,1589,1447,142,9413
2020/8/5/,confirmed and probable,Rock County,1604,1462,142,9413
2020/8/6/,confirmed and probable,Rock County,1611,1468,143,9413
2020/8/7/,confirmed and probable,Rock County,1619,1475,144,9413
2020/8/8/,confirmed and probable,Rock County,1627,1483,144,9413
2020/8/9/,confirmed and probable,Rock County,1632,1488,144,9413
2020/8/10/,confirmed and probable,Rock County,1637,1493,144,9413
2020/8/11/,confirmed and probable,Rock County,1646,1502,144,9413
2020/8/12/,confirmed and probable,Rock County,1661,1517,144,9413
2020/8/13/,confirmed and probable,Rock County,1667,1522,145,9413
2020/8/14/,confirmed and probable,Rock County,1679,1533,146,9413
2020/8/15/,confirmed and probable,Rock County,1688,1540,148,9413
2020/8/16/,confirmed and probable,Rock County,1697,1549,148,9413
2020/8/17/,confirmed and probable,Rock County,1717,1568,149,9413
2020/8/18/,confirmed and probable,Rock County,1729,1580,149,9413
2020/8/19/,confirmed and probable,Rock County,1745,1596,149,9413
2020/8/20/,confirmed and probable,Rock County,1768,1617,151,9413
2020/8/21/,confirmed and probable,Rock County,1784,1630,154,9413
2020/8/22/,confirmed and probable,Rock County,1802,1646,156,9413
2020/8/23/,confirmed and probable,Rock County,1813,1656,157,9413
2020/8/24/,confirmed and probable,Rock County,1833,1675,158,9413
2020/8/25/,confirmed and probable,Rock County,1860,1701,159,9413
2020/8/26/,confirmed and probable,Rock County,1880,1720,160,9413
2020/8/27/,confirmed and probable,Rock County,1896,1734,162,9413
2020/8/28/,confirmed and probable,Rock County,1912,1750,162,9413
2020/8/29/,confirmed and probable,Rock County,1923,1761,162,9413
2020/8/30/,confirmed and probable,Rock County,1938,1776,162,9413
2020/8/31/,confirmed and probable,Rock County,1964,1798,166,9413
2020/9/1/,confirmed and probable,Rock County,1988,1821,167,9413
2020/9/2/,confirmed and probable,Rock County,2021,1853,168,9413
2020/9/3/,confirmed and probable,Rock County,2052,1883,169,9413
2020/9/4/,confirmed and probable,Rock County,2077,1907,170,9413
2020/9/5/,confirmed and probable,Rock County,2103,1932,171,9413
2020/9/6/,confirmed and probable,Rock County,2123,1951,172,9413
2020/9/7/,confirmed and probable,Rock County,2155,1983,172,9413
2020/9/8/,confirmed and probable,Rock County,2198,2022,176,9413
2020/9/9/,confirmed and probable,Rock County,2227,2048,179,9413
