/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/4/28/,confirmed and probable,Winnebago County,94,78,16,14045
2020/4/29/,confirmed and probable,Winnebago County,99,83,16,14045
2020/4/30/,confirmed and probable,Winnebago County,108,89,19,14045
2020/5/1/,confirmed and probable,Winnebago County,115,96,19,14045
2020/5/2/,confirmed and probable,Winnebago County,117,98,19,14045
2020/5/3/,confirmed and probable,Winnebago County,119,100,19,14045
2020/5/4/,confirmed and probable,Winnebago County,125,105,20,14045
2020/5/5/,confirmed and probable,Winnebago County,129,108,21,14045
2020/5/6/,confirmed and probable,Winnebago County,133,112,21,14045
2020/5/7/,confirmed and probable,Winnebago County,135,114,21,14045
2020/5/8/,confirmed and probable,Winnebago County,136,115,21,14045
2020/5/9/,confirmed and probable,Winnebago County,144,122,22,14045
2020/5/10/,confirmed and probable,Winnebago County,147,125,22,14045
2020/5/11/,confirmed and probable,Winnebago County,151,127,24,14045
2020/5/12/,confirmed and probable,Winnebago County,154,130,24,14045
2020/5/13/,confirmed and probable,Winnebago County,165,141,24,14045
2020/5/14/,confirmed and probable,Winnebago County,174,149,25,14045
2020/5/15/,confirmed and probable,Winnebago County,176,150,26,14045
2020/5/16/,confirmed and probable,Winnebago County,188,162,26,14045
2020/5/17/,confirmed and probable,Winnebago County,193,166,27,14045
2020/5/18/,confirmed and probable,Winnebago County,213,186,27,14045
2020/5/19/,confirmed and probable,Winnebago County,237,208,29,14045
2020/5/20/,confirmed and probable,Winnebago County,248,219,29,14045
2020/5/21/,confirmed and probable,Winnebago County,261,232,29,14045
2020/5/22/,confirmed and probable,Winnebago County,271,242,29,14045
2020/5/23/,confirmed and probable,Winnebago County,273,244,29,14045
2020/5/24/,confirmed and probable,Winnebago County,278,249,29,14045
2020/5/25/,confirmed and probable,Winnebago County,290,261,29,14045
2020/5/26/,confirmed and probable,Winnebago County,310,280,30,14045
2020/5/27/,confirmed and probable,Winnebago County,327,296,31,14045
2020/5/28/,confirmed and probable,Winnebago County,343,312,31,14045
2020/5/29/,confirmed and probable,Winnebago County,362,331,31,14045
2020/5/30/,confirmed and probable,Winnebago County,376,344,32,14045
2020/5/31/,confirmed and probable,Winnebago County,399,366,33,14045
2020/6/1/,confirmed and probable,Winnebago County,429,395,34,14045
2020/6/2/,confirmed and probable,Winnebago County,447,413,34,14045
2020/6/3/,confirmed and probable,Winnebago County,471,436,35,14045
2020/6/4/,confirmed and probable,Winnebago County,492,455,37,14045
2020/6/5/,confirmed and probable,Winnebago County,509,472,37,14045
2020/6/6/,confirmed and probable,Winnebago County,531,493,38,14045
2020/6/7/,confirmed and probable,Winnebago County,547,507,40,14045
2020/6/8/,confirmed and probable,Winnebago County,565,524,41,14045
2020/6/9/,confirmed and probable,Winnebago County,577,535,42,14045
2020/6/10/,confirmed and probable,Winnebago County,591,548,43,14045
2020/6/11/,confirmed and probable,Winnebago County,606,563,43,14045
2020/6/12/,confirmed and probable,Winnebago County,622,577,45,14045
2020/6/13/,confirmed and probable,Winnebago County,630,585,45,14045
2020/6/14/,confirmed and probable,Winnebago County,638,591,47,14045
2020/6/15/,confirmed and probable,Winnebago County,652,604,48,14045
