/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/4/25/,confirmed and probable,Eau Claire County,38,38,0,7674
2020/4/26/,confirmed and probable,Eau Claire County,39,39,0,7674
2020/4/27/,confirmed and probable,Eau Claire County,42,42,0,7674
2020/4/28/,confirmed and probable,Eau Claire County,43,43,0,7674
2020/4/29/,confirmed and probable,Eau Claire County,47,47,0,7674
2020/4/30/,confirmed and probable,Eau Claire County,50,50,0,7674
2020/5/1/,confirmed and probable,Eau Claire County,50,50,0,7674
2020/5/2/,confirmed and probable,Eau Claire County,54,54,0,7674
2020/5/3/,confirmed and probable,Eau Claire County,57,57,0,7674
2020/5/4/,confirmed and probable,Eau Claire County,59,59,0,7674
2020/5/5/,confirmed and probable,Eau Claire County,62,62,0,7674
2020/5/6/,confirmed and probable,Eau Claire County,64,64,0,7674
2020/5/7/,confirmed and probable,Eau Claire County,66,66,0,7674
2020/5/8/,confirmed and probable,Eau Claire County,66,66,0,7674
2020/5/9/,confirmed and probable,Eau Claire County,68,67,1,7674
2020/5/10/,confirmed and probable,Eau Claire County,70,68,2,7674
2020/5/11/,confirmed and probable,Eau Claire County,74,72,2,7674
2020/5/12/,confirmed and probable,Eau Claire County,77,75,2,7674
2020/5/13/,confirmed and probable,Eau Claire County,78,76,2,7674
2020/5/14/,confirmed and probable,Eau Claire County,80,77,3,7674
2020/5/15/,confirmed and probable,Eau Claire County,85,82,3,7674
2020/5/16/,confirmed and probable,Eau Claire County,90,87,3,7674
2020/5/17/,confirmed and probable,Eau Claire County,94,91,3,7674
2020/5/18/,confirmed and probable,Eau Claire County,104,101,3,7674
2020/5/19/,confirmed and probable,Eau Claire County,108,103,5,7674
2020/5/20/,confirmed and probable,Eau Claire County,110,104,6,7674
2020/5/21/,confirmed and probable,Eau Claire County,114,107,7,7674
2020/5/22/,confirmed and probable,Eau Claire County,120,113,7,7674
2020/5/23/,confirmed and probable,Eau Claire County,121,114,7,7674
2020/5/24/,confirmed and probable,Eau Claire County,123,115,8,7674
2020/5/25/,confirmed and probable,Eau Claire County,125,117,8,7674
2020/5/26/,confirmed and probable,Eau Claire County,131,121,10,7674
2020/5/27/,confirmed and probable,Eau Claire County,131,121,10,7674
2020/5/28/,confirmed and probable,Eau Claire County,139,127,12,7674
2020/5/29/,confirmed and probable,Eau Claire County,142,130,12,7674
2020/5/30/,confirmed and probable,Eau Claire County,145,132,13,7674
2020/5/31/,confirmed and probable,Eau Claire County,145,132,13,7674
2020/6/1/,confirmed and probable,Eau Claire County,147,133,14,7674
2020/6/2/,confirmed and probable,Eau Claire County,150,136,14,7674
2020/6/3/,confirmed and probable,Eau Claire County,151,137,14,7674
2020/6/4/,confirmed and probable,Eau Claire County,155,141,14,7674
2020/6/5/,confirmed and probable,Eau Claire County,157,143,14,7674
2020/6/6/,confirmed and probable,Eau Claire County,158,144,14,7674
2020/6/7/,confirmed and probable,Eau Claire County,160,146,14,7674
2020/6/8/,confirmed and probable,Eau Claire County,162,147,15,7674
2020/6/9/,confirmed and probable,Eau Claire County,166,151,15,7674
2020/6/10/,confirmed and probable,Eau Claire County,167,152,15,7674
2020/6/11/,confirmed and probable,Eau Claire County,171,156,15,7674
2020/6/12/,confirmed and probable,Eau Claire County,177,162,15,7674
2020/6/13/,confirmed and probable,Eau Claire County,181,166,15,7674
2020/6/14/,confirmed and probable,Eau Claire County,182,167,15,7674
2020/6/15/,confirmed and probable,Eau Claire County,187,172,15,7674
2020/6/16/,confirmed and probable,Eau Claire County,196,181,15,7674
2020/6/17/,confirmed and probable,Eau Claire County,200,185,15,7674
2020/6/18/,confirmed and probable,Eau Claire County,207,192,15,7674
2020/6/19/,confirmed and probable,Eau Claire County,212,197,15,7674
2020/6/20/,confirmed and probable,Eau Claire County,213,198,15,7674
2020/6/21/,confirmed and probable,Eau Claire County,215,200,15,7674
2020/6/22/,confirmed and probable,Eau Claire County,224,209,15,7674
2020/6/23/,confirmed and probable,Eau Claire County,233,218,15,7674
2020/6/24/,confirmed and probable,Eau Claire County,248,233,15,7674
2020/6/25/,confirmed and probable,Eau Claire County,267,251,16,7674
2020/6/26/,confirmed and probable,Eau Claire County,289,273,16,7674
2020/6/27/,confirmed and probable,Eau Claire County,297,281,16,7674
2020/6/28/,confirmed and probable,Eau Claire County,304,288,16,7674
2020/6/29/,confirmed and probable,Eau Claire County,320,304,16,7674
2020/6/30/,confirmed and probable,Eau Claire County,338,322,16,7674
2020/7/1/,confirmed and probable,Eau Claire County,348,332,16,7674
2020/7/2/,confirmed and probable,Eau Claire County,354,338,16,7674
2020/7/3/,confirmed and probable,Eau Claire County,363,347,16,7674
2020/7/4/,confirmed and probable,Eau Claire County,367,351,16,7674
2020/7/5/,confirmed and probable,Eau Claire County,371,355,16,7674
2020/7/6/,confirmed and probable,Eau Claire County,381,365,16,7674
2020/7/7/,confirmed and probable,Eau Claire County,387,371,16,7674
2020/7/8/,confirmed and probable,Eau Claire County,398,382,16,7674
2020/7/9/,confirmed and probable,Eau Claire County,407,391,16,7674
2020/7/10/,confirmed and probable,Eau Claire County,414,398,16,7674
2020/7/11/,confirmed and probable,Eau Claire County,420,404,16,7674
2020/7/12/,confirmed and probable,Eau Claire County,426,410,16,7674
2020/7/13/,confirmed and probable,Eau Claire County,437,421,16,7674
2020/7/14/,confirmed and probable,Eau Claire County,450,434,16,7674
2020/7/15/,confirmed and probable,Eau Claire County,458,442,16,7674
2020/7/16/,confirmed and probable,Eau Claire County,461,445,16,7674
2020/7/17/,confirmed and probable,Eau Claire County,465,449,16,7674
2020/7/18/,confirmed and probable,Eau Claire County,467,451,16,7674
2020/7/19/,confirmed and probable,Eau Claire County,479,463,16,7674
2020/7/20/,confirmed and probable,Eau Claire County,484,468,16,7674
2020/7/21/,confirmed and probable,Eau Claire County,488,472,16,7674
2020/7/22/,confirmed and probable,Eau Claire County,495,479,16,7674
2020/7/23/,confirmed and probable,Eau Claire County,501,485,16,7674
2020/7/24/,confirmed and probable,Eau Claire County,508,492,16,7674
2020/7/25/,confirmed and probable,Eau Claire County,515,499,16,7674
2020/7/26/,confirmed and probable,Eau Claire County,524,508,16,7674
2020/7/27/,confirmed and probable,Eau Claire County,541,525,16,7674
2020/7/28/,confirmed and probable,Eau Claire County,550,534,16,7674
2020/7/29/,confirmed and probable,Eau Claire County,560,544,16,7674
2020/7/30/,confirmed and probable,Eau Claire County,569,553,16,7674
2020/7/31/,confirmed and probable,Eau Claire County,589,573,16,7674
2020/8/1/,confirmed and probable,Eau Claire County,602,586,16,7674
2020/8/2/,confirmed and probable,Eau Claire County,611,595,16,7674
2020/8/3/,confirmed and probable,Eau Claire County,624,608,16,7674
2020/8/4/,confirmed and probable,Eau Claire County,637,620,17,7674
2020/8/5/,confirmed and probable,Eau Claire County,648,631,17,7674
2020/8/6/,confirmed and probable,Eau Claire County,656,639,17,7674
2020/8/7/,confirmed and probable,Eau Claire County,670,653,17,7674
2020/8/8/,confirmed and probable,Eau Claire County,678,661,17,7674
2020/8/9/,confirmed and probable,Eau Claire County,682,665,17,7674
2020/8/10/,confirmed and probable,Eau Claire County,696,678,18,7674
2020/8/11/,confirmed and probable,Eau Claire County,707,689,18,7674
2020/8/12/,confirmed and probable,Eau Claire County,714,696,18,7674
2020/8/13/,confirmed and probable,Eau Claire County,719,701,18,7674
2020/8/14/,confirmed and probable,Eau Claire County,724,706,18,7674
2020/8/15/,confirmed and probable,Eau Claire County,733,715,18,7674
2020/8/16/,confirmed and probable,Eau Claire County,739,721,18,7674
2020/8/17/,confirmed and probable,Eau Claire County,757,739,18,7674
2020/8/18/,confirmed and probable,Eau Claire County,767,749,18,7674
2020/8/19/,confirmed and probable,Eau Claire County,775,757,18,7674
2020/8/20/,confirmed and probable,Eau Claire County,789,771,18,7674
2020/8/21/,confirmed and probable,Eau Claire County,804,786,18,7674
2020/8/22/,confirmed and probable,Eau Claire County,815,797,18,7674
2020/8/23/,confirmed and probable,Eau Claire County,823,805,18,7674
2020/8/24/,confirmed and probable,Eau Claire County,836,818,18,7674
2020/8/25/,confirmed and probable,Eau Claire County,850,832,18,7674
2020/8/26/,confirmed and probable,Eau Claire County,871,853,18,7674
2020/8/27/,confirmed and probable,Eau Claire County,890,872,18,7674
2020/8/28/,confirmed and probable,Eau Claire County,902,884,18,7674
2020/8/29/,confirmed and probable,Eau Claire County,911,893,18,7674
2020/8/30/,confirmed and probable,Eau Claire County,935,917,18,7674
2020/8/31/,confirmed and probable,Eau Claire County,966,948,18,7674
2020/9/1/,confirmed and probable,Eau Claire County,1008,990,18,7674
