/(Epi Dt),Confirmed + Probable Title,County Parameter Cum Curve,运行 Confirm + Probable cases 的 总和,Confirmed cases (running sum),Probable cases (running sum),Window Max Cum Cases
2020/4/25/,confirmed and probable,Wisconsin,9176,8022,1154,398104
2020/4/26/,confirmed and probable,Wisconsin,9394,8215,1179,398104
2020/4/27/,confirmed and probable,Wisconsin,9764,8558,1206,398104
2020/4/28/,confirmed and probable,Wisconsin,10214,8974,1240,398104
2020/4/29/,confirmed and probable,Wisconsin,10615,9341,1274,398104
2020/4/30/,confirmed and probable,Wisconsin,11020,9709,1311,398104
2020/5/1/,confirmed and probable,Wisconsin,11418,10082,1336,398104
2020/5/2/,confirmed and probable,Wisconsin,11671,10314,1357,398104
2020/5/3/,confirmed and probable,Wisconsin,11880,10514,1366,398104
2020/5/4/,confirmed and probable,Wisconsin,12323,10916,1407,398104
2020/5/5/,confirmed and probable,Wisconsin,12680,11254,1426,398104
2020/5/6/,confirmed and probable,Wisconsin,13049,11590,1459,398104
2020/5/7/,confirmed and probable,Wisconsin,13469,11985,1484,398104
2020/5/8/,confirmed and probable,Wisconsin,13855,12347,1508,398104
2020/5/9/,confirmed and probable,Wisconsin,14103,12569,1534,398104
2020/5/10/,confirmed and probable,Wisconsin,14373,12821,1552,398104
2020/5/11/,confirmed and probable,Wisconsin,14911,13327,1584,398104
2020/5/12/,confirmed and probable,Wisconsin,15424,13799,1625,398104
2020/5/13/,confirmed and probable,Wisconsin,16000,14337,1663,398104
2020/5/14/,confirmed and probable,Wisconsin,16561,14852,1709,398104
2020/5/15/,confirmed and probable,Wisconsin,17186,15423,1763,398104
2020/5/16/,confirmed and probable,Wisconsin,17588,15789,1799,398104
2020/5/17/,confirmed and probable,Wisconsin,17859,16037,1822,398104
2020/5/18/,confirmed and probable,Wisconsin,18561,16702,1859,398104
2020/5/19/,confirmed and probable,Wisconsin,19197,17300,1897,398104
2020/5/20/,confirmed and probable,Wisconsin,19810,17873,1937,398104
2020/5/21/,confirmed and probable,Wisconsin,20363,18380,1983,398104
2020/5/22/,confirmed and probable,Wisconsin,20881,18864,2017,398104
2020/5/23/,confirmed and probable,Wisconsin,21188,19145,2043,398104
2020/5/24/,confirmed and probable,Wisconsin,21391,19338,2053,398104
2020/5/25/,confirmed and probable,Wisconsin,21619,19541,2078,398104
2020/5/26/,confirmed and probable,Wisconsin,22198,20081,2117,398104
2020/5/27/,confirmed and probable,Wisconsin,22873,20719,2154,398104
2020/5/28/,confirmed and probable,Wisconsin,23302,21119,2183,398104
2020/5/29/,confirmed and probable,Wisconsin,23714,21500,2214,398104
2020/5/30/,confirmed and probable,Wisconsin,23946,21710,2236,398104
2020/5/31/,confirmed and probable,Wisconsin,24140,21893,2247,398104
2020/6/1/,confirmed and probable,Wisconsin,24635,22353,2282,398104
2020/6/2/,confirmed and probable,Wisconsin,25031,22724,2307,398104
2020/6/3/,confirmed and probable,Wisconsin,25438,23106,2332,398104
2020/6/4/,confirmed and probable,Wisconsin,25815,23446,2369,398104
2020/6/5/,confirmed and probable,Wisconsin,26206,23806,2400,398104
2020/6/6/,confirmed and probable,Wisconsin,26481,24064,2417,398104
2020/6/7/,confirmed and probable,Wisconsin,26691,24264,2427,398104
2020/6/8/,confirmed and probable,Wisconsin,27097,24649,2448,398104
2020/6/9/,confirmed and probable,Wisconsin,27512,25025,2487,398104
2020/6/10/,confirmed and probable,Wisconsin,27892,25365,2527,398104
2020/6/11/,confirmed and probable,Wisconsin,28208,25639,2569,398104
2020/6/12/,confirmed and probable,Wisconsin,28529,25932,2597,398104
2020/6/13/,confirmed and probable,Wisconsin,28765,26151,2614,398104
2020/6/14/,confirmed and probable,Wisconsin,28989,26357,2632,398104
2020/6/15/,confirmed and probable,Wisconsin,29522,26851,2671,398104
2020/6/16/,confirmed and probable,Wisconsin,29938,27235,2703,398104
2020/6/17/,confirmed and probable,Wisconsin,30394,27657,2737,398104
2020/6/18/,confirmed and probable,Wisconsin,30851,28074,2777,398104
2020/6/19/,confirmed and probable,Wisconsin,31279,28464,2815,398104
2020/6/20/,confirmed and probable,Wisconsin,31619,28780,2839,398104
2020/6/21/,confirmed and probable,Wisconsin,31972,29119,2853,398104
2020/6/22/,confirmed and probable,Wisconsin,32636,29749,2887,398104
2020/6/23/,confirmed and probable,Wisconsin,33293,30370,2923,398104
2020/6/24/,confirmed and probable,Wisconsin,33938,30981,2957,398104
2020/6/25/,confirmed and probable,Wisconsin,34577,31573,3004,398104
2020/6/26/,confirmed and probable,Wisconsin,35188,32151,3037,398104
2020/6/27/,confirmed and probable,Wisconsin,35660,32608,3052,398104
2020/6/28/,confirmed and probable,Wisconsin,36106,33042,3064,398104
2020/6/29/,confirmed and probable,Wisconsin,36966,33867,3099,398104
2020/6/30/,confirmed and probable,Wisconsin,37778,34642,3136,398104
2020/7/1/,confirmed and probable,Wisconsin,38644,35455,3189,398104
2020/7/2/,confirmed and probable,Wisconsin,39353,36126,3227,398104
2020/7/3/,confirmed and probable,Wisconsin,39989,36736,3253,398104
2020/7/4/,confirmed and probable,Wisconsin,40444,37171,3273,398104
2020/7/5/,confirmed and probable,Wisconsin,41065,37774,3291,398104
2020/7/6/,confirmed and probable,Wisconsin,42108,38777,3331,398104
2020/7/7/,confirmed and probable,Wisconsin,43129,39767,3362,398104
2020/7/8/,confirmed and probable,Wisconsin,44123,40725,3398,398104
2020/7/9/,confirmed and probable,Wisconsin,45035,41604,3431,398104
2020/7/10/,confirmed and probable,Wisconsin,45900,42418,3482,398104
2020/7/11/,confirmed and probable,Wisconsin,46534,43037,3497,398104
2020/7/12/,confirmed and probable,Wisconsin,47182,43659,3523,398104
2020/7/13/,confirmed and probable,Wisconsin,48310,44746,3564,398104
